cod_rgi,ano,Expectativa de anos de estudo aos 18 anos de idade,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda,Razão de dependência,Renda per capita,Taxa de envelhecimento,Taxa de fecundidade total,Índice de Gini,razao_infantil,razao_idosos,poupanca_deflacionada_per_capta
310057,1991,8.888333333333334,0.4828333333333334,0.24083333333333334,0.7406666666666667,0.641,59.068333333333335,432.6933333333333,5.128333333333333,2.733333333333333,0.5033333333333333,0.21292312955456547,0.05126519338448891,4.919458824620163e-08
310057,2000,9.243333333333334,0.6273333333333334,0.4543333333333333,0.8128333333333333,0.6685,49.925000000000004,514.5366666666666,6.698333333333333,2.4833333333333334,0.54,0.17674847646455372,0.06703009825876252,55.334630821749634
310057,2010,8.961666666666666,0.7115,0.5831666666666666,0.8595,0.7188333333333333,41.965,705.9683333333334,7.503333333333334,2.27,0.46166666666666667,0.1494086614125742,0.07509862990907297,341.4720320122034
310058,1991,8.416,0.4178,0.177,0.7076,0.5922,61.967999999999996,330.37600000000003,4.128,2.6599999999999997,0.542,0.22323825339911543,0.041281754739043296,4.9615536104828235e-09
310058,2000,8.620000000000001,0.6014,0.42300000000000004,0.791,0.6542,50.958,479.48199999999997,6.304,2.398,0.562,0.18401265458262217,0.06306803199530474,43.26706546723855
310058,2010,8.764,0.7116,0.5956,0.8501999999999998,0.7134,42.30800000000001,684.948,7.912000000000001,2.304,0.49399999999999994,0.14555300746776217,0.07941682163653378,205.24904506498044
310059,1991,8.568181818181818,0.4747272727272728,0.24772727272727274,0.7246363636363636,0.609090909090909,56.690000000000005,364.00636363636363,4.6863636363636365,2.6727272727272724,0.5045454545454545,0.2082346487444502,0.0468762320702851,7.678586478397173e-08
310059,2000,9.15090909090909,0.613090909090909,0.44,0.7920909090909091,0.6654545454545455,50.85090909090909,514.1781818181818,6.680909090909091,2.349090909090909,0.5718181818181818,0.1794988215443045,0.06680709748656453,51.20396964299525
310059,2010,9.136363636363637,0.7142727272727273,0.601,0.854909090909091,0.7113636363636364,44.14636363636364,684.8618181818182,8.998181818181818,2.187272727272727,0.4636363636363636,0.14761640234984522,0.09026267371908384,356.6074202947972
310060,1991,8.663333333333334,0.46316666666666667,0.23866666666666667,0.7305,0.5786666666666667,58.14000000000001,305.615,5.561666666666667,2.7100000000000004,0.5283333333333333,0.20990273171504562,0.05562103973817755,3.441231811746691e-08
310060,2000,9.174999999999999,0.6124999999999999,0.4418333333333333,0.787,0.6633333333333333,50.718333333333334,499.19166666666666,7.985,2.481666666666667,0.5833333333333334,0.16925259291046732,0.07986400094752234,34.507544774438564
310060,2010,9.803333333333333,0.7123333333333334,0.6006666666666667,0.8458333333333333,0.7126666666666667,46.605,683.6983333333334,10.633333333333333,2.43,0.47,0.14313851009016318,0.10644229459648095,249.2401321234348
310061,1991,9.192857142857141,0.46314285714285713,0.23685714285714285,0.7157142857142856,0.5907142857142856,56.871428571428574,323.79714285714283,5.211428571428572,2.7642857142857147,0.5228571428571429,0.20582345660432438,0.05211645863887412,9.822216209188969e-08
310061,2000,9.138571428571428,0.603,0.4427142857142857,0.7838571428571429,0.6371428571428571,49.07,435.4214285714285,6.3585714285714285,2.5014285714285713,0.5114285714285715,0.1758217192842324,0.06356876889179734,69.57711223225861
310061,2010,9.101428571428572,0.7075714285714285,0.6002857142857143,0.8425714285714285,0.7018571428571428,43.70428571428572,633.4585714285714,9.069999999999999,2.2685714285714282,0.47285714285714286,0.14477472818407558,0.09068864978173864,743.1649989802831
310062,1991,8.874444444444444,0.4366666666666667,0.2126111111111111,0.6982777777777778,0.5693888888888889,62.61222222222222,285.00388888888887,4.526666666666667,2.79,0.5288888888888889,0.22438714218715225,0.04528957870723312,6.122334431564576e-08
